data,blur,noise,mode,c,method,image_index,oracle_K,network_forward_K,backtracks_K,rel_primal_error_K
real,motion,high,bv,0.5,learned-warped-bv-c0.5,32,4000,1000,0,8.074555080384016e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,33,4000,1000,0,7.021749479463324e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,34,4000,1000,0,6.005397517583333e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,35,4000,1000,0,0.0001261469442397356
real,motion,high,bv,0.5,learned-warped-bv-c0.5,36,4000,1000,0,6.235667387954891e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,37,4000,1000,0,6.32256778771989e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,38,4000,1000,0,8.022892870940268e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,39,4000,1000,0,5.167410199646838e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,40,4000,1000,0,4.120939411222935e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,41,4000,1000,0,0.00011281415208941326
real,motion,high,bv,0.5,learned-warped-bv-c0.5,42,4000,1000,0,3.737736551556736e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,43,4000,1000,0,5.652959953295067e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,44,4000,1000,0,5.713464997825213e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,45,4000,1000,0,4.271071884431876e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,46,4000,1000,0,5.430777673609555e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,47,4000,1000,0,3.736439612112008e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,48,4000,1000,0,7.252349314512685e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,49,4000,1000,0,8.623888425063342e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,50,4000,1000,0,6.337737431749701e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,51,4000,1000,0,8.310244447784498e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,52,4000,1000,0,6.221036164788529e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,53,4000,1000,0,6.0404647229006514e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,54,4000,1000,0,0.00012652238365262747
real,motion,high,bv,0.5,learned-warped-bv-c0.5,55,4000,1000,0,4.843866918236017e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,56,4000,1000,0,0.00016104897076729685
real,motion,high,bv,0.5,learned-warped-bv-c0.5,57,4000,1000,0,5.183679240872152e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,58,4000,1000,0,4.883990914095193e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,59,4000,1000,0,4.915800309390761e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,60,4000,1000,0,3.252074748161249e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,61,4000,1000,0,4.372136390884407e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,62,4000,1000,0,4.654782605939545e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,63,4000,1000,0,4.23707788286265e-05
