data,blur,noise,image_index,ref_self_gap_50k_100k,old_fbhf4000_gap_to_ref,last_pdhg_rel_step,fixed_minus_learned_absdiff,fixed_better_than_learned,learned_better_than_fixed,cv_better_than_learned,ref_steps,ref_time_s
real,train,low,43,9.952947266356205e-07,0.00016076349129434675,5.571826733330454e-08,6.040974403731525e-05,0,1,0,100000,79.32913918420672
real,train,low,44,1.5540369986410951e-06,9.425738971913233e-05,4.778942042094059e-08,8.752456051297486e-05,0,1,1,100000,79.32913918420672
real,train,low,45,1.948520775840734e-06,0.00016109825810417533,7.552379344133442e-08,0.00011268031084910035,0,1,0,100000,79.32913918420672
real,train,low,46,1.1569060234251083e-06,0.0013293559895828366,8.170654552941414e-08,0.00036862329579889774,0,1,0,100000,79.32913918420672
real,train,low,47,1.0538083188293967e-06,2.692276393645443e-05,1.0289583229905475e-07,5.7442986872047186e-05,0,1,1,100000,79.32913918420672
real,train,low,48,5.702063390344847e-07,0.0001911025174194947,7.833033066617645e-08,9.33803676161915e-06,0,1,1,100000,79.32913918420672
real,train,low,49,5.005937282476225e-07,9.165696974378079e-05,8.152965591534667e-08,4.7373046982102096e-05,0,1,1,100000,79.32913918420672
real,train,low,50,6.922082775417948e-06,0.00013754791871178895,6.243349304213552e-08,0.0001434034202247858,0,1,1,100000,79.32913918420672
real,train,low,51,7.981869885043125e-07,0.0003359265101607889,5.088321941570939e-08,3.384531009942293e-05,0,1,0,100000,79.32913918420672
real,train,low,52,1.0963400427499437e-06,9.81657940428704e-05,5.0879883417565e-08,6.32414739811793e-05,0,1,1,100000,79.32913918420672
real,train,low,53,5.971506880086963e-07,9.347068407805637e-05,7.914273680853512e-08,7.809489034116268e-06,1,0,1,100000,79.32913918420672
real,train,low,54,1.2464797691791318e-06,0.0002593413519207388,9.646592502576823e-08,6.651731382589787e-05,1,0,1,100000,79.32913918420672
real,train,low,55,2.6227219223073917e-06,4.7282508603530005e-05,4.064992609187357e-08,0.00023191746731754392,0,1,1,100000,79.32913918420672
real,train,low,56,1.2008409839836531e-06,0.00017193186795338988,1.3080398275633343e-07,5.2790273912250996e-06,0,1,0,100000,79.32913918420672
real,train,low,57,1.671548375270504e-06,0.0003306305152364075,4.508406803438447e-08,9.270777809433639e-05,1,0,1,100000,79.32913918420672
real,train,low,58,1.2063751455571037e-06,2.5268294848501682e-05,4.457526259216138e-08,0.00023324062931351364,0,1,1,100000,79.32913918420672
real,train,low,59,1.1994754913757788e-06,3.5342185583431274e-05,1.16329587740438e-07,8.057303784880787e-05,0,1,1,100000,79.32913918420672
real,train,low,60,1.381816105094913e-06,4.0011771488934755e-05,4.578695467216676e-08,0.0002460381801938638,0,1,1,100000,79.32913918420672
real,train,low,61,9.025484359881375e-07,2.284949914610479e-05,6.610778058302458e-08,8.505367441102862e-05,0,1,1,100000,79.32913918420672
real,train,low,62,8.936407880355546e-07,0.0007638655370101333,6.837760935241022e-08,1.1376570910215378e-05,1,0,1,100000,79.32913918420672
real,train,low,63,1.2806772247131448e-06,1.608635466254782e-05,7.39274170769022e-08,3.818638651864603e-05,0,1,1,100000,79.32913918420672
real,train,high,0,1.161630734713981e-06,4.888520561507903e-05,3.96971167049287e-08,8.444965351372957e-05,0,1,1,100000,78.57662151753902
